text;label
John Smith works for Apple Inc. as a software engineer. His email address is john.smith@apple.com. He recently traveled to London for a conference.;<PERSON> works for <ORG>. as a <JOB>. His email address is <EMAIL_ADDRESS>. He recently traveled to <LOCATION> for a conference.
Paris is the capital of France. It is a popular tourist destination known for its museums and art galleries.;<LOCATION> is the capital of <LOCATION>. It is a popular tourist destination known for its museums and art galleries.
Google has acquired YouTube for $1.65 billion. The deal was finalized in 2006.;<ORG> has acquired <ORG> for <AMOUNT>. The deal was finalized in <DATE_TIME>.
Barack Obama was the President of the United States from 2009 to 2017. He was born in Honolulu, Hawaii and attended Harvard Law School. His phone number is +1 (202) 555-0199.;<PERSON> was the President of <LOCATION> from <DATE_TIME> to <DATE_TIME>. He was born in <LOCATION>, <LOCATION> and attended <UNIVERSITY>. His phone number is <PHONE_NUMBER>.
The Eiffel Tower is a famous landmark in Paris. It was built in 1889 and is one of the most visited attractions in the world.;The Eiffel Tower is a famous landmark in <LOCATION>. It was built in <DATE_TIME> and is one of the most visited attractions in the world.
Amazon is a multinational technology company based in Seattle, Washington. It was founded by Jeff Bezos in 1994. Their website is www.amazon.com.;<ORG> is a multinational technology company based in <LOCATION>, <LOCATION>. It was founded by <PERSON> in <DATE_TIME>. Their website is <URL>.
Steve Jobs was the co-founder of Apple Inc. He was known for his contributions to the personal computer revolution and the development of the iPhone. He passed away in 2011.;<PERSON> was the co-founder of <ORG> He was known for his contributions to the personal computer revolution and the development of the iPhone. He passed away in <DATE_TIME>.
New York City is the largest city in the United States. It is located in the state of New York and has a population of over 8 million people. The city's area code is 212.;<LOCATION> is the largest city in <LOCATION>. It is located in the state of <LOCATION> and has a population of over 8 million people. The city's area code is <LOCATION>.
Microsoft Corporation is a technology company based in Redmond, Washington. It was founded by Bill Gates and Paul Allen in 1975. Their headquarters are located at One Microsoft Way, Redmond, WA 98052.;<ORG> is a technology company based in <LOCATION>, <LOCATION>. It was founded by <PERSON> and <PERSON> in <DATE_TIME>. Their headquarters are located at <LOCATION>, <LOCATION>, <LOCATION>.
Elon Musk is the CEO of SpaceX and Tesla. He was born in South Africa and became a naturalized US citizen in 2002. His net worth is estimated to be over $100 billion.;<PERSON> is the <JOB> of <ORG> and <ORG>. He was born in <LOCATION> and became a naturalized <LOCATION> citizen in <DATE_TIME>. His net worth is estimated to be over <AMOUNT>.
